"ID"	"Estado"	"Periodo"	"año"	"Género"	"Edad"	 "IBC" 	"Ciudad"	"Origen_Afiliado"	"Origen_AFP"	"Nivel_de_Satisfacción"	"PQR"
1	Activo	2017-11	2017	F	 18 	4066223	Bogotá	Traslado de AFP	Protección	3	No
2	Activo	2017-12	2017	M	 65 	1362789	Bogotá	Traslado de AFP	Porvenir	10	Si
3	Activo	2017-1	2017	F	 66 	1594382	Bogotá	Traslado de AFP	Protección	10	No
4	Activo	2017-2	2017	F	 18 	4794222	Bogotá	Traslado de AFP	Porvenir	10	No
5	Activo	2017-3	2017	F	 18 	4621926	Cartagena	Traslado de AFP	Porvenir	10	No
6	Activo	2017-4	2017	M	 19 	3462286	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
7	Activo	2017-5	2017	M	 46 	2254656	Bogotá	Traslado de AFP	Porvenir	4	No
8	Activo	2017-6	2017	M	 33 	1707685	Bogotá	Vinculación Inicial	Primer Trabajo	9	Si
9	Activo	2017-7	2017	M	 18 	4381340	Medellín	Traslado de AFP	Porvenir	4	Si
10	Activo	2017-8	2017	F	 44 	4247286	Bogotá	Traslado de AFP	Porvenir	10	No
11	Activo	2017-9	2017	F	 18 	1294650	Medellín	Traslado de AFP	Protección	3	No
12	Activo	2017-10	2017	M	 58 	1990472	Barranquilla	Traslado de AFP	Porvenir	8	No
13	Activo	2017-11	2017	M	 35 	2654562	Medellín	Traslado de AFP	Protección	10	No
14	Activo	2017-12	2017	F	 23 	2963819	Bogotá	Traslado de AFP	Porvenir	9	No
15	Activo	2017-1	2017	M	 49 	1738586	Cali	Traslado de AFP	Protección	9	Si
16	Activo	2017-2	2017	M	 51 	3576424	Bogotá	Traslado de AFP	Porvenir	10	No
17	Activo	2017-3	2017	M	 57 	3286331	Bogotá	Traslado de AFP	Porvenir	9	No
18	Activo	2017-4	2017	F	 39 	2740989	Cali	Traslado de AFP	Porvenir	10	No
19	Activo	2017-5	2017	M	 44 	2930242	Cartagena	Vinculación Inicial	Primer Trabajo	8	Si
20	Activo	2017-6	2017	F	 19 	2323499	Medellín	Traslado de AFP	Skandia	5	No
21	Activo	2017-7	2017	F	 37 	1313414	Barranquilla	Traslado de AFP	Protección	10	No
22	Activo	2017-8	2017	M	 37 	2390956	Cartagena	Vinculación Inicial	Primer Trabajo	10	No
23	Activo	2017-9	2017	M	 58 	2728306	Bogotá	Traslado de AFP	Porvenir	7	No
24	Activo	2017-10	2017	M	 27 	1362789	Bogotá	Traslado de AFP	Protección	10	No
25	Activo	2017-11	2017	M	 25 	1362789	Bogotá	Traslado de AFP	Porvenir	6	No
26	Activo	2017-12	2017	F	 21 	3394476	Bogotá	Traslado de AFP	Porvenir	10	No
27	Activo	2017-1	2017	F	 35 	3718799	Bogotá	Traslado de AFP	Porvenir	6	No
