"ID"	"Estado"	"Periodo"	"Año"	"Género"	 "Edad" 	 "IBC" 	"Ciudad"	"Origen_Afiliado"	"Origen_AFP"	"Nivel_de_Satisfacción"	"PQR"
47773	fugado	2017-11	2017	F	 40 	1167421	Bogotá	Traslado de AFP	Porvenir	1	SI
47774	fugado	2017-12	2017	F	 40 	6742176	Bogotá	Traslado de AFP	Skandia	3	SI
47775	fugado	2017-1	2017	F	 39 	1300619	Bogotá	Traslado de AFP	Porvenir	2	SI
47776	fugado	2017-2	2017	F	 31 	1525194	Bogotá	Traslado de AFP	Porvenir	3	SI
47777	fugado	2017-3	2017	M	 40 	1570844	Barranquilla	Traslado de AFP	Porvenir	1	SI
47778	fugado	2017-4	2017	F	 31 	1288485	Bogotá	Traslado de AFP	Porvenir	4	SI
47779	fugado	2017-5	2017	F	 30 	7291505	Bogotá	Traslado de AFP	Skandia	4	SI
47780	fugado	2017-6	2017	F	 31 	1598199	Bucaramanga	Traslado de AFP	Porvenir	3	No
47781	fugado	2017-7	2017	F	 33 	7452008	Bogotá	Traslado de AFP	Skandia	2	SI
47782	fugado	2017-8	2017	M	 29 	1509676	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
47783	fugado	2017-9	2017	F	 40 	1584289	Bogotá	Traslado de AFP	Porvenir	4	SI
47784	fugado	2017-10	2017	F	 28 	1314623	Medellín	Vinculación Inicial	Primer Trabajo	1	SI
47785	fugado	2017-11	2017	F	 38 	1492063	Bogotá	Traslado de AFP	Porvenir	2	SI
47786	fugado	2017-12	2017	M	 30 	1394525	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47787	fugado	2017-1	2017	F	 40 	1470979	Bogotá	Traslado de AFP	Porvenir	4	SI
47788	fugado	2017-2	2017	F	 29 	1483216	Bucaramanga	Vinculación Inicial	Primer Trabajo	4	SI
47789	fugado	2017-3	2017	F	 30 	1625617	Bogotá	Traslado de AFP	Porvenir	1	SI
47790	fugado	2017-4	2017	F	 36 	1698616	Bogotá	Traslado de AFP	Porvenir	2	SI
47791	fugado	2017-5	2017	F	 35 	1410378	Bogotá	Traslado de AFP	Porvenir	2	SI
47792	fugado	2017-6	2017	F	 36 	1600414	Bogotá	Traslado de AFP	Porvenir	2	SI
47793	fugado	2017-7	2017	M	 28 	1153523	Barranquilla	Vinculación Inicial	Primer Trabajo	4	SI
47794	fugado	2017-8	2017	F	 34 	1328423	Cartagena	Traslado de AFP	Porvenir	2	No
47795	fugado	2017-9	2017	F	 30 	5902928	Bogotá	Traslado de AFP	Skandia	3	SI
47796	fugado	2017-10	2017	F	 40 	1683810	Bogotá	Traslado de AFP	Porvenir	3	No
47797	fugado	2017-11	2017	M	 35 	1197501	Bogotá	Traslado de AFP	Porvenir	1	No
47798	fugado	2017-12	2017	F	 27 	1700152	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
47799	fugado	2017-1	2017	F	 40 	1400640	Barranquilla	Traslado de AFP	Porvenir	3	SI
47800	fugado	2017-2	2017	M	 40 	7931161	Bogotá	Traslado de AFP	Skandia	4	SI
47801	fugado	2017-3	2017	F	 27 	1548384	Barranquilla	Vinculación Inicial	Primer Trabajo	4	SI
47802	fugado	2017-4	2017	F	 30 	1118632	Bogotá	Traslado de AFP	Porvenir	4	SI
47803	fugado	2017-5	2017	F	 31 	1659468	Barranquilla	Traslado de AFP	Porvenir	3	No
47804	fugado	2017-6	2017	F	 25 	1420957	Bucaramanga	Vinculación Inicial	Primer Trabajo	2	SI
47805	fugado	2017-7	2017	M	 30 	1122828	Bogotá	Traslado de AFP	Porvenir	4	SI
47806	fugado	2017-8	2017	F	 37 	3555872	Bogotá	Traslado de AFP	Protección	4	SI
47807	fugado	2017-9	2017	F	 35 	1518569	Bucaramanga	Traslado de AFP	Porvenir	2	SI
47808	fugado	2017-10	2017	M	 37 	6296319	Cali	Traslado de AFP	Skandia	1	SI
47809	fugado	2017-11	2017	F	 30 	5799492	Bogotá	Traslado de AFP	Skandia	4	SI
47810	fugado	2017-12	2017	F	 37 	1512110	Barranquilla	Traslado de AFP	Porvenir	2	SI
47811	fugado	2017-1	2017	F	 33 	5929961	Cali	Traslado de AFP	Skandia	3	SI
47812	fugado	2017-2	2017	M	 36 	1387155	Cali	Traslado de AFP	Porvenir	2	SI
47813	fugado	2017-3	2017	F	 35 	4895124	Bogotá	Traslado de AFP	Skandia	4	SI
47814	fugado	2017-4	2017	F	 31 	1319258	Bogotá	Traslado de AFP	Porvenir	1	SI
47815	fugado	2017-5	2017	M	 37 	1376754	Bogotá	Traslado de AFP	Porvenir	4	SI
47816	fugado	2017-6	2017	M	 30 	1644847	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
47817	fugado	2017-7	2017	M	 25 	1653040	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47818	fugado	2017-8	2017	F	 31 	3389206	Medellín	Traslado de AFP	Protección	3	SI
47819	fugado	2017-9	2017	F	 31 	1408429	Bogotá	Traslado de AFP	Porvenir	2	SI
47820	fugado	2017-10	2017	F	 32 	5964525	Bogotá	Traslado de AFP	Skandia	2	SI
47821	fugado	2017-11	2017	F	 39 	1501594	Bogotá	Traslado de AFP	Porvenir	4	SI
47822	fugado	2017-12	2017	F	 40 	1678176	Cali	Traslado de AFP	Porvenir	3	SI
47823	fugado	2017-1	2017	F	 29 	1513608	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47824	fugado	2017-2	2017	F	 31 	1403767	Cartagena	Traslado de AFP	Porvenir	2	SI
47825	fugado	2017-3	2017	F	 35 	1394130	Cali	Traslado de AFP	Porvenir	2	SI
47826	fugado	2017-4	2017	M	 36 	3462011	Barranquilla	Traslado de AFP	Protección	2	SI
47827	fugado	2017-5	2017	M	 35 	6262307	Bogotá	Traslado de AFP	Skandia	4	SI
47828	fugado	2017-6	2017	F	 33 	6109663	Bogotá	Traslado de AFP	Skandia	4	SI
47829	fugado	2017-7	2017	F	 32 	1585370	Bucaramanga	Traslado de AFP	Porvenir	3	SI
47830	fugado	2017-8	2017	F	 40 	1471109	Bogotá	Traslado de AFP	Porvenir	3	SI
47831	fugado	2017-9	2017	F	 27 	1465285	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47832	fugado	2017-10	2017	F	 33 	1401761	Barranquilla	Traslado de AFP	Porvenir	2	SI
